Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,y
422,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
423,Tr,Tr,Tr,Tr,Tr,Fa,Tr,Fa
424,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
425,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Fa
426,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
427,Tr,Tr,Fa,Tr,Fa,Fa,Tr,Fa
428,Tr,Tr,Fa,Tr,Fa,Fa,Tr,Fa
429,Tr,Tr,Tr,Tr,Tr,Fa,Tr,Fa
430,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
431,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
432,Fa,Tr,Fa,Fa,Tr,Fa,Tr,Fa
433,Tr,Tr,Tr,Tr,Tr,Fa,Tr,Fa
434,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
435,Tr,Tr,Fa,Tr,Fa,Fa,Tr,Fa
436,Tr,Tr,Tr,Tr,Tr,Fa,Fa,Fa
437,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
438,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
439,Fa,Tr,Fa,Tr,Tr,Fa,Fa,Fa
440,Tr,Tr,Fa,Tr,Tr,Tr,Tr,Fa
441,Tr,Tr,Fa,Tr,Tr,Fa,Fa,Fa
442,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
443,Fa,Tr,Fa,Tr,Tr,Fa,Tr,Fa
