"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","y"
"304",7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,-1
"305",8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,-1
"306",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,-1
"307",12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,-1
"308",12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,-1
"309",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,-1
"310",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,-1
"311",7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,1
"312",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,-1
"313",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,-1
"314",10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,-1
"315",9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,-1
"316",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,-1
"317",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,-1
"318",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,-1
"319",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,-1
"320",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,-1
"321",5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,-1
"322",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,-1
"323",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,-1
"324",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,-1
"325",7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,-1
"326",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,-1
"327",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,-1
"328",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,-1
"329",7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,-1
"330",8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,-1
"331",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,-1
"332",9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,-1
"333",6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,-1
"334",10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,-1
"335",7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,-1
"336",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,-1
"337",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,-1
"338",6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,-1
"339",7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,-1
"340",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,-1
"341",9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,-1
"342",9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,-1
"343",10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,-1
"344",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,-1
"345",8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,-1
"346",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,-1
"347",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,-1
"348",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,-1
"349",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,-1
"350",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,-1
"351",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,-1
"352",9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,-1
"353",7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,-1
"354",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,-1
"355",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,-1
"356",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,-1
"357",9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,-1
"358",9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,-1
"359",8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,-1
"360",8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,-1
"361",8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,-1
"362",8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,-1
"363",9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,-1
"364",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,-1
"365",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,-1
"366",9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,-1
"367",7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,-1
"368",9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,-1
"369",7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,-1
"370",9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,-1
"371",6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,-1
"372",7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,-1
"373",8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,-1
"374",6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,-1
"375",8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,-1
"376",7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,-1
"377",8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,-1
"378",10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,-1
"379",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,-1
"380",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,-1
"381",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,-1
"382",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,-1
"383",8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,-1
"384",8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,-1
"385",7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,-1
"386",7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,-1
"387",7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,-1
"388",8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,-1
"389",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,-1
"390",6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,-1
"391",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,-1
"392",6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,-1
"393",6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,-1
"394",7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,-1
"395",9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,-1
"396",9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,-1
"397",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,-1
"398",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,-1
"399",11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,-1
"400",9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,1
"401",8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,-1
"402",10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,-1
"403",8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,-1
"404",7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,-1
"405",7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,-1
"406",8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,-1
"407",9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,-1
"408",10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,-1
"409",7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,-1
"410",8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,-1
"411",7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,-1
"412",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,-1
"413",10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,1
"414",7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,-1
"415",7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,-1
"416",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,-1
"417",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,-1
"418",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,-1
"419",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,-1
"420",6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,-1
"421",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,-1
"422",8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,-1
"423",8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,-1
"424",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,-1
"425",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,-1
"426",7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,-1
"427",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,-1
"428",5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,-1
"429",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,-1
"430",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,-1
"431",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,-1
"432",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,-1
"433",7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,1
"434",6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,-1
"435",6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,-1
"436",10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,-1
"437",5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,-1
"438",6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,-1
"439",10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,-1
"440",9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,-1
"441",8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,-1
"442",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,-1
"443",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,-1
"444",8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,-1
"445",7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,-1
"446",8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,-1
"447",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,-1
"448",7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,-1
"449",8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,-1
"450",7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,-1
"451",7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,-1
"452",10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,-1
"453",6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,-1
"454",9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,-1
"455",6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,-1
"456",6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,-1
"457",8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,-1
"458",6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,-1
"459",7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,-1
"460",9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,-1
"461",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,-1
"462",9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,-1
"463",7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,-1
"464",7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,-1
"465",6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,-1
"466",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,-1
"467",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,-1
"468",10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,-1
"469",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,-1
"470",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,-1
"471",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,-1
"472",7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,-1
"473",6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,-1
"474",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,-1
"475",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,-1
"476",7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,-1
"477",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,-1
"478",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,-1
"479",8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,1
"480",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,-1
"481",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,-1
"482",9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,-1
"483",10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,-1
"484",8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,-1
"485",7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,-1
"486",8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,-1
"487",8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,-1
"488",9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,-1
"489",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,-1
"490",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,-1
"491",8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,-1
"492",10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,-1
"493",12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,-1
"494",7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,-1
"495",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,-1
"496",7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,-1
"497",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,-1
"498",9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,-1
"499",5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,-1
"500",6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,-1
"501",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,-1
"502",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,-1
"503",7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,-1
"504",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,-1
"505",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,-1
"506",8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,-1
"507",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,-1
"508",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,-1
"509",10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,-1
"510",6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,-1
"511",5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,1
"512",5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,-1
"513",7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,-1
"514",7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,-1
"515",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,-1
"516",7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,-1
"517",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,-1
"518",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,-1
"519",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,-1
"520",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,-1
"521",8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,-1
"522",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,-1
"523",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,-1
"524",5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,-1
"525",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,-1
"526",7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,-1
"527",5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,-1
"528",5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,-1
"529",6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,-1
"530",9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,-1
"531",6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,-1
"532",7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,-1
"533",7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,-1
"534",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,-1
"535",5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,-1
"536",9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,-1
"537",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,-1
"538",9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,-1
"539",5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,-1
"540",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,-1
"541",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,-1
"542",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,-1
"543",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,-1
"544",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,-1
"545",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,-1
"546",8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,-1
"547",6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,-1
"548",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,-1
"549",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,-1
"550",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,-1
"551",7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,-1
"552",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,-1
"553",8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,-1
"554",7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,-1
"555",7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,-1
"556",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,-1
"557",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,-1
"558",7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,-1
"559",6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,-1
"560",8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,-1
"561",7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,-1
"562",5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,-1
"563",7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,-1
"564",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,-1
"565",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,-1
"566",6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,-1
"567",8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,-1
"568",7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,-1
"569",7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,-1
"570",7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,1
"571",8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,-1
"572",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,-1
"573",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,-1
"574",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,-1
"575",6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,-1
"576",6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,-1
"577",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,-1
"578",7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,-1
"579",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,-1
"580",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,-1
"581",7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,-1
"582",7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,-1
"583",5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,-1
"584",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,-1
"585",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,-1
"586",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,-1
"587",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667,-1
"588",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,-1
"589",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,-1
"590",7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,1
"591",11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,-1
"592",6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,-1
"593",6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,-1
"594",6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,-1
"595",6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,-1
"596",6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,-1
"597",7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,-1
"598",6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,-1
"599",7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4,-1
"600",7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,-1
"601",6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,-1
"602",6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,-1
"603",6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,-1
"604",6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,-1
"605",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,-1
"606",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,-1
